Manufacturer or brand,Caliber,Model,Serial number,Type,subType,Name of distibutor,Address,Purchase Country,City,Purchase State,Purchase date,Mex Recovery date,Mex Recovery area,US Recovery date,US recovery city,Reference case,Case Number,Case state,Jurisdiction,Indictment date,File date,Notes,PRIO Type,PRIO Type Code,Purchase date assumed,Mex Recovery date assumed,US Recovery date assumed,dblcnt_cenapi
BARRETT FIREARMS MFG CO,0.5,82A1,AA006768,Rifle,Sniper,The Shooters' Sports Center,4900 6 Mile Rd,US,Racine,WI,2/20/2018,,,,,United States of America v. RichardMosqueda,21-CR-223,Wisconsin,Eastern District of Wisconsin,11/2/2021,3/23/2023,Imputed date of recovery based on ID# 3,Sniper rifles,235,4/9/18,6/9/18,,0
BARRETT FIREARMS MFG CO,0.5,82A1,AA006824,Rifle,Sniper,The Shooters' Sports Center,4900 6 Mile Rd,US,Racine,WI,4/9/2018,6/9/2018,Guadalajara,,,United States of America v. RichardMosqueda,21-CR-223,Wisconsin,Eastern District of Wisconsin,11/2/2021,3/23/2023,"Found in connection with CJNG assassination attempt on Luis Carlos Najera Gutierrez. Recovered with drugs, 32 other firearms, grenade launcher, etc.",Sniper rifles,235,4/9/18,6/9/18,,0
BARRETT FIREARMS MFG CO,0.5,82A1,1535,Rifle,Sniper,The Shooters' Sports Center,4900 6 Mile Rd,US,Racine,WI,4/11/2018,,,,,United States of America v. RichardMosqueda,21-CR-223,Wisconsin,Eastern District of Wisconsin,11/2/2021,3/23/2023,Imputed date of recovery based on ID# 3,Sniper rifles,235,4/9/18,6/9/18,,0
BARRETT FIREARMS MFG CO,0.5,82A1,AA002853,Rifle,Sniper,The Gun Shop LLC,5011 45TH STREET,US,Kenosha,WI,6/13/2018,,,,,United States of America v. RichardMosqueda,21-CR-223,Wisconsin,Eastern District of Wisconsin,11/2/2021,3/23/2023,Imputed date of recovery based on ID# 3,Sniper rifles,235,4/9/18,6/9/18,,0
Browning,.5 BMG,M2HB,43,Machine Gun,Heavy,The Gun Shop LLC,5011 45TH STREET,US,Kenosha,WI,6/15/2018,,,,,United States of America v. RichardMosqueda,21-CR-223,Wisconsin,Eastern District of Wisconsin,11/2/2021,3/23/2023,Imputed date of recovery based on ID# 3,Heavy machine guns <= 12.7mm,310,4/9/18,6/9/18,,0
BARRETT FIREARMS MFG CO,0.5,82A1,AA002148,Rifle,,The Shooters' Sports Center,4900 6 Mile Rd,US,Racine,WI,7/10/2018,,,,,United States of America v. RichardMosqueda,21-CR-223,Wisconsin,Eastern District of Wisconsin,11/2/2021,3/23/2023,Imputed date of recovery based on ID# 3,Rifles/Shotguns - Military,230,4/9/18,6/9/18,,0
BARRETT FIREARMS MFG CO,0.5,82A1,AA007538,Rifle,Sniper,Fletcher Arms,1441 E Main St,US,Waukesha,WI,9/18/2018,,,,,United States of America v. RichardMosqueda,21-CR-223,Wisconsin,Eastern District of Wisconsin,11/2/2021,3/23/2023,Imputed date of recovery based on ID# 3,Sniper rifles,235,4/9/18,6/9/18,,0
BARRETT FIREARMS MFG CO,0.5,82A1,AA007013,Rifle,Sniper,The Gun Shop LLC,5011 45TH STREET,US,Kenosha,WI,9/12/2018,,,,,United States of America v. RichardMosqueda,21-CR-223,Wisconsin,Eastern District of Wisconsin,11/2/2021,3/23/2023,Imputed date of recovery based on ID# 3,Sniper rifles,235,4/9/18,6/9/18,,0
Fabrique Nationale,7.62FDE,SCAR 17S,HC40015,Rifle,Semi-Auto,Gander Outdoors,6802 118th Ave,US,Kenosha,WI,2/27/2019,,,,,United States of America v. RichardMosqueda,21-CR-223,Wisconsin,Eastern District of Wisconsin,11/2/2021,3/23/2023,Imputed date of recovery based on ID# 3,Assault rifles,233,4/9/18,6/9/18,,0
Fabrique Nationale,7.62FDE,SCAR 17S,H0C10924,Rifle,Semi-Auto,Gander Outdoors,6802 118th Ave,US,Kenosha,WI,2/27/2019,,,,,United States of America v. RichardMosqueda,21-CR-223,Wisconsin,Eastern District of Wisconsin,11/2/2021,11/2/2021,Imputed date of recovery based on ID# 3,Assault rifles,233,4/9/18,6/9/18,,0
Fabrique Nationale,5.56mm,M249S,M249SA07138,"Machine Gun, replica",Semi-Auto,Chambered,9600 Durand Ave,US,Sturtevant,WI,9/30/2018,,,,,United States of America v. RichardMosqueda,21-CR-223,Wisconsin,Eastern District of Wisconsin,11/2/2021,11/2/2021,Imputed date of recovery based on ID# 3,Replica small arms,910,4/9/18,6/9/18,,0
Fabrique Nationale,5.56mm,SCAR,LC36343,Rifle,Semi-Auto,Chambered,9600 Durand Ave,US,Sturtevant,WI,9/30/2018,,,,,United States of America v. RichardMosqueda,21-CR-223,Wisconsin,Eastern District of Wisconsin,11/2/2021,11/2/2021,Imputed date of recovery based on ID# 3,Assault rifles,233,4/9/18,6/9/18,,0
Fabrique Nationale,7.62x51,SCAR 17S,HC62775,Rifle,Semi-Auto,,,US,,,,,,1/27/2021,San Jose,United States of America v. RichardMosqueda,21-CR-223,Wisconsin,Eastern District of Wisconsin,11/2/2021,11/2/2021,Imputed date of recovery based on ID# 3,Assault rifles,233,4/9/18,6/9/18,,0
